Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43001,"2,810",187,19,N/A,"6,654.80",676.2,N/A
43002,"3,744",N/A,N/A,N/A,N/A,N/A,N/A
43003,"3,005",193,26,6,"6,422.60",865.2,199.7
43004,"26,139","2,880",308,110,"11,018.00","1,178.30",420.8
43005,201,15,N/A,N/A,"7,462.70",N/A,N/A
43006,655,22,N/A,N/A,"3,358.80",N/A,N/A
43008,"2,614",131,15,6,"5,011.50",573.8,229.5
43009,"2,453",123,23,N/A,"5,014.30",937.60,N/A
43010,260,32,5,N/A,"12,307.70","1,923.10",N/A
43011,"7,722",611,83,21,"7,912.50","1,074.90",272
43013,809,76,N/A,N/A,"9,394.30",N/A,N/A
43014,"3,507",177,17,N/A,"5,047.00",484.7,N/A
43015,"55,462","4,262",571,188,"7,684.50","1,029.50",339
43016,"36,260","3,251",385,108,"8,965.80","1,061.80",297.8
43017,"40,649","3,502",422,97,"8,615.20","1,038.20",238.6
43019,"9,295",563,77,22,"6,057.00",828.4,236.7
43021,"12,327","1,181",180,46,"9,580.60","1,460.20",373.2
43022,"4,500",115,21,11,"2,555.60",466.7,244.4
43023,"13,864",937,183,42,"6,758.50","1,320.00",302.9
43025,"5,100",474,92,24,"9,294.10","1,803.90",470.6
43026,"62,169","5,567",766,168,"8,954.60","1,232.10",270.2
43028,"8,335",517,77,24,"6,202.80",923.8,287.9
43029,563,73,14,N/A,"12,966.30","2,486.70",N/A
43030,113,13,N/A,N/A,"11,504.40",N/A,N/A
43031,"13,408","1,034",179,53,"7,711.80","1,335.00",395.3
43032,19,N/A,N/A,N/A,N/A,N/A,N/A
43033,298,26,5,N/A,"8,724.80","1,677.90",N/A
43035,"27,011","2,341",271,84,"8,666.80","1,003.30",311
43036,270,17,N/A,N/A,"6,296.30",N/A,N/A
43037,301,19,N/A,N/A,"6,312.30",N/A,N/A
43040,"34,169","3,105",357,77,"9,087.20","1,044.80",225.4
43044,"4,866",343,37,15,"7,048.90",760.4,308.3
43045,"1,982",147,22,11,"7,416.80","1,110.00",555
43046,"3,812",255,36,9,"6,689.40",944.4,236.1
43050,"28,508","1,924",243,61,"6,749.00",852.4,214
43054,"26,953","2,042",304,95,"7,576.20","1,127.90",352.5
