county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Adams,Adams County Board of DD,County Board of Developmental Disabilities,No Cases Reported,0,No Cases Reported,0
Adams,Adams County Christian,Private School,No Cases Reported,2,No Cases Reported,1
Adams,Adams County Ohio Valley Local,Public District,No Cases Reported,119,No Cases Reported,56
Adams,Manchester Local,Public District,No Cases Reported,27,No Cases Reported,10
Allen,Allen County Board of DD,County Board of Developmental Disabilities,No Cases Reported,1,No Cases Reported,2
Allen,Allen County ESC,Educational Service Center,0,1,2,25
Allen,Allen East Local,Public District,No Cases Reported,2,No Cases Reported,9
Allen,Apollo,Joint Vocational School District,7,42,0,10
Allen,Auglaize County Educational Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Bath Local,Public District,No Cases Reported,3,No Cases Reported,2
Allen,Bible Believers Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Bluffton Exempted Village,Public District,No Cases Reported,15,No Cases Reported,11
Allen,Calvary Bible Church,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Countryside Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Delphos City,Public District,No Cases Reported,13,No Cases Reported,6
Allen,Elida Local,Public District,4,42,2,25
Allen,Golden Bridge Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Golden Bridge Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Heir Force Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Liberty Bible Baptist School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Liberty Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Lima Central Catholic,Private School,No Cases Reported,8,No Cases Reported,1
Allen,Lima City,Public District,6,67,0,73
Allen,Perry Local,Public District,1,10,1,10
Allen,Pilgrim Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Shawnee Local,Public District,No Cases Reported,24,No Cases Reported,14
Allen,SKILL Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Spencerville Local,Public District,2,25,1,20
Allen,St Charles,Private School,No Cases Reported,7,No Cases Reported,0
Allen,St Charles,Preschool,No Cases Reported,0,No Cases Reported,1
